,Tag_Id,dominant_topic,Id,Topics,Tags,Department
0,0,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
1,1,1,1,course golf play The played courses greens holes hole tee golf course cart The course desert green good range shape par round playing nice fairways time great water area driving balls fun hit challenging well layout This ball one would better There,Golf,Active Life
2,2,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
3,3,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
4,4,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
5,5,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
6,6,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
7,7,1,1,course golf play The played courses greens holes hole tee golf course cart The course desert green good range shape par round playing nice fairways time great water area driving balls fun hit challenging well layout This ball one would better There,Golf,Active Life
8,8,1,1,course golf play The played courses greens holes hole tee golf course cart The course desert green good range shape par round playing nice fairways time great water area driving balls fun hit challenging well layout This ball one would better There,Golf,Active Life
9,9,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
10,10,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
11,11,4,4,Great staff friendly place great clean helpful The staff staff friendly love The always friendly staff This place Very The staff friendly great place equipment friendly helpful amazing fun super Staff This atmosphere love place nice kids food well Love best facilities get knowledgeable climbing Phoenix Nice service shape,Sports Clubs,Active Life
12,12,1,1,course golf play The played courses greens holes hole tee golf course cart The course desert green good range shape par round playing nice fairways time great water area driving balls fun hit challenging well layout This ball one would better There,Golf,Active Life
13,13,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
14,14,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
15,15,4,4,Great staff friendly place great clean helpful The staff staff friendly love The always friendly staff This place Very The staff friendly great place equipment friendly helpful amazing fun super Staff This atmosphere love place nice kids food well Love best facilities get knowledgeable climbing Phoenix Nice service shape,Sports Clubs,Active Life
16,16,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
17,17,1,1,course golf play The played courses greens holes hole tee golf course cart The course desert green good range shape par round playing nice fairways time great water area driving balls fun hit challenging well layout This ball one would better There,Golf,Active Life
18,18,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
